cells	cell_sizes	mc	median_mc_cell_size	total_mc_umis	total_mc_cells
WSETLV0002207	227	39	371.5	41857	90
WSETLV0002208	1206	10	857.5	88011	78
WSETLV0002209	2168	19	762	74309	85
WSETLV0002210	394	25	422.5	18412	40
WSETLV0002211	2851	44	557	46549	58
WSETLV0002215	999	13	737.5	75624	86
WSETLV0002216	2547	38	914.5	77933	80
WSETLV0002217	648	35	787	93532	97
WSETLV0002218	1226	34	1067	121013	101
WSETLV0002219	645	10	857.5	88011	78
WSETLV0002220	335	23	459	36891	71
WSETLV0002221	714	14	767	47027	53
WSETLV0002222	855	21	578	46864	71
WSETLV0002223	266	47	478	71014	125
WSETLV0002224	1209	30	1212	130854	96
WSETLV0002225	333	15	398	29634	68
WSETLV0002226	1293	38	914.5	77933	80
WSETLV0002227	819	20	526	82284	108
WSETLV0002229	785	10	857.5	88011	78
WSETLV0002230	513	16	710.5	24235	32
WSETLV0002231	280	44	557	46549	58
WSETLV0002232	1029	17	844	84811	80
WSETLV0002233	559	13	737.5	75624	86
WSETLV0002234	215	11	333.5	19598	52
WSETLV0002235	782	40	639	56324	74
WSETLV0002237	857	12	541	35705	54
WSETLV0002239	414	14	767	47027	53
WSETLV0002240	476	18	711	50449	57
WSETLV0002241	742	31	931	57903	51
WSETLV0002242	585	25	422.5	18412	40
WSETLV0002245	335	11	333.5	19598	52
WSETLV0002246	654	16	710.5	24235	32
WSETLV0002247	341	47	478	71014	125
WSETLV0002248	358	17	844	84811	80
WSETLV0002249	2841	26	1096	128756	97
WSETLV0002250	574	45	476	24171	43
WSETLV0002251	226	12	541	35705	54
WSETLV0002252	623	21	578	46864	71
WSETLV0002253	610	25	422.5	18412	40
WSETLV0002255	771	19	762	74309	85
WSETLV0002256	738	24	765.5	22537	24
WSETLV0002257	534	34	1067	121013	101
WSETLV0002258	632	40	639	56324	74
WSETLV0002261	481	20	526	82284	108
WSETLV0002265	1122	39	371.5	41857	90
WSETLV0002266	722	10	857.5	88011	78
WSETLV0002267	432	38	914.5	77933	80
WSETLV0002268	717	30	1212	130854	96
WSETLV0002269	163	23	459	36891	71
WSETLV0002270	530	21	578	46864	71
WSETLV0002273	520	47	478	71014	125
WSETLV0002274	1386	28	1192	140861	98
WSETLV0002278	849	38	914.5	77933	80
WSETLV0002279	2046	1	719	47160	43
WSETLV0002282	1054	11	333.5	19598	52
WSETLV0002283	301	8	1331	97851	64
WSETLV0002286	586	24	765.5	22537	24
WSETLV0002290	1299	23	459	36891	71
WSETLV0002292	447	21	578	46864	71
WSETLV0002293	558	1	719	47160	43
WSETLV0002294	370	23	459	36891	71
WSETLV0002297	478	26	1096	128756	97
WSETLV0002298	1723	20	526	82284	108
WSETLV0002299	1318	34	1067	121013	101
WSETLV0002300	413	45	476	24171	43
WSETLV0002301	830	14	767	47027	53
WSETLV0002303	308	15	398	29634	68
WSETLV0002304	1232	10	857.5	88011	78
WSETLV0002305	742	24	765.5	22537	24
WSETLV0002307	1134	19	762	74309	85
WSETLV0002310	486	23	459	36891	71
WSETLV0002311	1233	24	765.5	22537	24
WSETLV0002313	1706	24	765.5	22537	24
WSETLV0002314	297	47	478	71014	125
WSETLV0002316	569	22	662	29192	38
WSETLV0002317	780	18	711	50449	57
WSETLV0002319	859	45	476	24171	43
WSETLV0002320	2421	14	767	47027	53
WSETLV0002321	4875	10	857.5	88011	78
WSETLV0002322	653	15	398	29634	68
WSETLV0002323	1029	14	767	47027	53
WSETLV0002324	1534	18	711	50449	57
WSETLV0002326	2166	19	762	74309	85
WSETLV0002327	1001	28	1192	140861	98
WSETLV0002328	1426	10	857.5	88011	78
WSETLV0002329	816	47	478	71014	125
WSETLV0002330	439	25	422.5	18412	40
WSETLV0002331	1169	10	857.5	88011	78
WSETLV0002332	461	20	526	82284	108
WSETLV0002335	482	19	762	74309	85
WSETLV0002337	2132	21	578	46864	71
WSETLV0002338	689	47	478	71014	125
WSETLV0002339	556	25	422.5	18412	40
WSETLV0002342	5407	31	931	57903	51
WSETLV0002343	1341	17	844	84811	80
WSETLV0002344	410	15	398	29634	68
WSETLV0002345	2733	20	526	82284	108
WSETLV0002346	1162	23	459	36891	71
WSETLV0002347	547	14	767	47027	53
WSETLV0002350	1851	30	1212	130854	96
WSETLV0002351	780	14	767	47027	53
WSETLV0002352	262	45	476	24171	43
WSETLV0002354	1351	34	1067	121013	101
WSETLV0002356	780	12	541	35705	54
WSETLV0002358	1137	45	476	24171	43
WSETLV0002359	788	1	719	47160	43
WSETLV0002360	836	16	710.5	24235	32
WSETLV0002361	1002	1	719	47160	43
WSETLV0002362	217	10	857.5	88011	78
WSETLV0002363	2777	47	478	71014	125
WSETLV0002364	454	21	578	46864	71
WSETLV0002366	991	3	1129.5	139782	108
WSETLV0002367	721	14	767	47027	53
WSETLV0002368	603	11	333.5	19598	52
WSETLV0002369	1744	20	526	82284	108
WSETLV0002370	334	43	489.5	15204	22
WSETLV0002372	735	20	526	82284	108
WSETLV0002373	497	39	371.5	41857	90
WSETLV0002375	391	20	526	82284	108
WSETLV0002376	2341	38	914.5	77933	80
WSETLV0002377	1452	34	1067	121013	101
WSETLV0002378	664	32	610.5	60613	80
WSETLV0002379	860	20	526	82284	108
WSETLV0002380	589	12	541	35705	54
WSETLV0002381	546	34	1067	121013	101
WSETLV0002382	849	38	914.5	77933	80
WSETLV0002384	278	19	762	74309	85
WSETLV0003001	300	23	459	36891	71
WSETLV0003002	403	3	1129.5	139782	108
WSETLV0003003	271	25	422.5	18412	40
WSETLV0003004	524	47	478	71014	125
