gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Hvul_g13716_1	22	0.0008987	4	0.016	-0.008	1	0	0.0002855	1	1	1	0.0001732	0.0001732	0	0	4	750	no	-12.4952734494848
Hvul_g13718_1	2180	0.1462032	227	0.214	-0.074	1	0	0.0153119	3	2	2	0.0102178	0.0109798	0.0998937362354742	0.0676096377375026	227	750	no	-6.61277158750659
Hvul_g13719_1	540	0.0255173	76	0.126	-0.023	1	0	0.0037515	1	1	1	0.0032905	0.0032798	-0.0041768882715654	-0.0330147596706193	76	750	no	-8.24747746279508
Hvul_g13720_1	813	0.0421137	108	0.167	-0.002	1	0	0.0060712	1	1	1	0.0046759	0.0046543	-0.00613946726111107	-0.0244586590040178	108	750	no	-7.74054020830979
Hvul_g13722_1	5358	0.3372542	682	0.384	-0.03	1	0	0.0395105	3	3	2	0.0309131	0.032903	0.0888565555549672	0.0536489258051123	682	750	no	-5.01563785326306
Hvul_g13723_1	948	0.0440469	173	0.168	-0.022	1	0	0.0092497	2	2	1	0.0075767	0.0076929	0.0208371883096611	-0.0150205660608392	173	750	no	-7.04421465925755
Hvul_g13734_1	14208	1.0991688	1704	0.556	0	0.753622169081446	-0.0183378969962671	0.1057679	3	3	3	0.078192	0.08152	0.0598253255284791	-0.0169006577431636	1704	750	no	-3.6768351800775
Hvul_g13740_1	1165	0.0708798	375	-0.028	-0.256	1	0	0.0329763	4	3	3	0.0187037	0.0239834	0.351873534514277	0.319945528097304	375	750	yes	-5.74053249486861
Hvul_g13745_1	393	0.0173646	47	0.124	0.004	1	0	0.0030055	2	1	1	0.0020782	0.0021606	0.0469910320563885	0.0494117837102611	47	750	no	-8.91044978291099
Hvul_g13747_1	1145	0.0541929	239	0.149	-0.074	1	0	0.0150685	2	2	2	0.010694	0.0112729	0.0733149235670207	0.043420772003549	239	750	no	-6.54705460792556
