gene	tot	var	is_on_count	sz_cor	sz_cor_norm	niche_stat	niche_norm	n_mean	ds_top1	ds_top2	ds_top3	ds_mean	ds_var	ds_log_varmean	ds_vm_norm	ds_is_on_count	downsample_n	marker	log2_ds_mean
Xesp_011257	549	0.0233903	150	0.154	0.023	1	0	0.0118034	1	1	1	0.008996	0.0089156	-0.012403706953076	-0.054712245349786	150	750	no	-6.79650062354636
Xesp_011258	388	0.0174136	109	0.12	0.00499999999999999	1	0	0.0093933	2	2	2	0.006717	0.0070322	0.0625569876706943	0.0230109902976948	109	750	no	-7.21796725575042
Xesp_011259	372	0.0154541	100	0.124	0.016	1	0	0.0086429	2	1	1	0.0060573	0.006141	0.0185924310774056	-0.0256660206442825	100	750	no	-7.36710941912028
Xesp_011260	1307	0.0655086	364	0.165	-0.031	1	0	0.0365125	3	3	3	0.0229699	0.0250826	0.124882881148622	0.0413392637265202	364	750	no	-5.44411161385202
Xesp_011261	148	0.0062182	42	0.071	0	1	0	0.0031929	2	1	1	0.0025789	0.0026923	0.0539768860508356	0	42	750	no	-8.59902845271416
Xesp_011262	106	0.0041771	41	0.067	0.00700000000000001	1	0	0.0022086	1	1	1	0.0024589	0.002453	-0.00298489381291506	0	41	750	no	-8.66777122091055
Xesp_011263	204	0.0296934	44	0.027	-0.058	1	0	0.0070352	3	2	2	0.0029987	0.0038295	0.315862171940586	0.270354912149708	44	750	no	-8.38144708728416
Xesp_011265	63	0.0028826	26	0.039	-0.008	1	0	0.0014358	1	1	1	0.0015593	0.001557	-0.00169827834703185	0	26	750	no	-9.32488576401913
Xesp_011267	13	0.0005933	3	0.029	0.007	1	0	0.0003108	1	1	1	0.0001799	0.0001799	0	0	3	750	no	-12.4405171929601
Xesp_011268	11	0.0004351	1	0.015	-0.005	1	0	0.0005745	1	0	0	6e-05	6e-05	0	0	1	750	no	-14.0246779737157
Xesp_011270	150	0.0061381	39	0.076	0.003	1	0	0.0035952	1	1	1	0.002339	0.0023336	-0.00285158338970141	-0.0607328663864866	39	750	no	-8.73989242297175
Xesp_011271	132	0.0054337	39	0.057	-0.007	1	0	0.0034238	2	1	1	0.0023989	0.0025133	0.0578812829967852	0.0607328663864866	39	750	no	-8.70341126563476
Xesp_011272	2426	0.1170995	631	0.299	0.052	1	0	0.0568281	2	2	2	0.0391028	0.0400951	0.0357962716918205	-0.0542246794635481	631	750	no	-4.67658427274126
Xesp_011273	140	0.0056678	42	0.083	0.013	1	0	0.0029438	1	1	1	0.0025189	0.0025127	-0.00307218972391197	-8.72959109969058e-05	42	750	no	-8.63299043625718
Xesp_011274	226	0.0090217	75	0.106	0.028	1	0	0.0048479	1	1	1	0.004498	0.0044781	-0.00587859929813029	-0.0350620281338734	75	750	no	-7.79650062354636
Xesp_011275	1959	0.0943862	519	0.219	-0.002	1	0	0.0521849	3	3	2	0.0323858	0.0340977	0.0734384486355039	-0.00846512032853573	519	750	no	-4.9484948075342
Xesp_011276	58	0.0023691	18	0.051	0.008	1	0	0.0012558	1	1	1	0.0010795	0.0010784	-0.00107615591554809	0	18	750	no	-9.85542104130167
Xesp_011277	927	0.0493469	246	0.094	-0.074	1	0	0.0301613	3	3	3	0.0161329	0.0189924	0.230206762497593	0.179735655107875	246	750	no	-5.95385039358984
Xesp_011278	205	0.0090755	54	0.114	0.03	1	0	0.004569	2	1	1	0.0032985	0.0034078	0.0420655128463692	0	54	750	no	-8.24397417974805
Xesp_011279	398	0.0163724	144	0.106	-0.00900000000000001	1	0	0.0098808	2	2	1	0.0087561	0.0089199	0.0255931399463109	-0.0361205294794131	144	750	no	-6.83549585359226
Xesp_011280	13	0.0005142	2	0.002	-0.02	1	0	0.0006124	1	1	0	0.0001199	0.0001199	0	0	2	750	no	-13.0258807207973
Xesp_011281	7923	0.5885623	1962	0.474	0.104	0.982478255388882	0.0151472765795984	0.1611523	5	5	4	0.134101	0.1546303	0.204939405382094	-0.000260160870377918	1962	750	yes	-2.89860809933281
orphan_peak_6530	5882	0.3732855	1777	0.299	-0.037	1	0	0.1415706	4	4	4	0.1245052	0.1507543	0.275197085277708	0.0503167738438057	1777	750	no	-3.00572209671008
Xesp_011282	1748	0.1283376	413	0.065	-0.156	1	0	0.068183	4	4	4	0.0307665	0.0445761	0.529223391015688	0.441374412361395	413	750	yes	-5.02249585789541
Xesp_011283	379	0.0165934	96	0.131	0.019	1	0	0.0085235	2	1	1	0.0058174	0.0059039	0.0199469178679945	-0.0272231360447269	96	750	no	-7.42540977847178
Xesp_011284	764	0.0407164	186	0.22	0.064	1	0	0.0135331	2	2	2	0.0116349	0.0124598	0.0956770468733713	0.0409539669039815	186	750	no	-6.42539737869834
Xesp_011285	193	0.0087664	52	0.115	0.042	1	0	0.0038694	2	1	1	0.0031786	0.0032886	0.0437296849534092	0.000865420478317086	52	750	no	-8.29739280776627
Xesp_011286	136	0.0055903	40	0.085	0.022	1	0	0.0031573	1	1	1	0.0023989	0.0023933	-0.00289385506037858	-4.22716706771748e-05	40	750	no	-8.70341126563476
Xesp_011287	7235	0.5263809	1947	0.335	-0.04	1	0	0.1743257	8	4	4	0.1358402	0.1641769	0.272617216534089	0.0676778111519954	1947	750	no	-2.88001760677603
Xesp_011288	166	0.0070008	45	0.096	0.02	1	0	0.0036918	1	1	1	0.0026988	0.0026917	-0.00331390171440422	-7.73551093331154e-05	45	750	no	-8.53346621771256
