gene	gene_umis
Xesp_000942	1049
Xesp_000943	957
Xesp_000944	29
Xesp_000945	414
Xesp_000946	46111
Xesp_000947	3244
Xesp_000948	437
Xesp_000949	1843
Xesp_000950	270
Xesp_000951	3831
Xesp_000952	533
Xesp_000953	1
Xesp_000954	846
Xesp_000955	1881
Xesp_000956	6
orphan_peak_470	742
Xesp_000957	129
Xesp_000958	1014
Xesp_000959	119
Xesp_000960	10
Xesp_000961	1638
Xesp_000962	276
Xesp_000963	521
orphan_peak_480	31276
Xesp_000965	1278
Xesp_000964	26
Xesp_000966	790
orphan_peak_481	11243
Xesp_000967	639
Xesp_000968	206
Xesp_000969	2973
Xesp_000970	5006
Xesp_000971	510
Xesp_000972	1564
Xesp_000973	74
Xesp_000974	586
Xesp_000975	574
Xesp_000976	9
Xesp_000977	570
Xesp_000978	211
Xesp_000979	117
Xesp_000980	263
orphan_peak_484	346
Xesp_000981	1
Xesp_000982	0
orphan_peak_488	5646
Xesp_028812	398
Xesp_000983	74
Xesp_000984	1317
Xesp_000985	184
Xesp_000986	1540
Xesp_000987	6131
Xesp_000988	1518
Xesp_000989	2037
Xesp_000990	1667
Xesp_000991	102
Xesp_000992	601
Xesp_000993	1984
Xesp_000994	413
Xesp_000995	1162
Xesp_000996	710
Xesp_000997	5
Xesp_000998	25
Xesp_000999	345
Xesp_001000	673
Xesp_001001	0
Xesp_001002	164
Xesp_001003	0
Xesp_001004	287
Xesp_001005	2
Xesp_001006	3
Xesp_001007	0
Xesp_001008	0
Xesp_001009	0
Xesp_001010	407
Xesp_001011	158
Xesp_001012	2
Xesp_001013	4
Xesp_001014	1
Xesp_001015	7
Xesp_001016	21
Xesp_001017	22
Xesp_001018	151
Xesp_001019	0
Xesp_001020	19
Xesp_001021	0
Xesp_001022	3
Xesp_001023	0
Xesp_001024	56
Xesp_001025	1477
Xesp_001026	655
Xesp_001027	2446
Xesp_001028	1820
Xesp_001029	398
Xesp_001030	336
Xesp_001031	474
Xesp_001032	582
Xesp_001033	1613
Xesp_001034	2389
Xesp_001035	4233
orphan_peak_514	1012
Xesp_001036	32107
Xesp_001037	38
Xesp_001038	308
Xesp_001039	3181
Xesp_001040	1370
Xesp_001041	2
Xesp_001042	0
Xesp_001043	11525
orphan_peak_520	1294
Xesp_001044	1910
Xesp_001045	113
Xesp_001046	37
Xesp_001047	26
Xesp_001048	310
Xesp_001049	233
Xesp_001050	131
Xesp_001051	1730
Xesp_001052	492
Xesp_001053	286
Xesp_001054	284
Xesp_001055	4630
orphan_peak_527	969
Xesp_001056	408
orphan_peak_528	2085
Xesp_001057	466
Xesp_001058	4459
Xesp_001059	45495
Xesp_001060	9466
Xesp_001061	961
orphan_peak_532	355
Xesp_001062	9719
Xesp_001063	791
Xesp_001064	12
orphan_peak_537	342
orphan_peak_538	649
Xesp_001065	4594
Xesp_001066	22908
Xesp_001067	7954
Xesp_001068	612
Xesp_001069	295
Xesp_001070	800
Xesp_001071	725
Xesp_001072	1167
Xesp_001073	144
Xesp_001074	176
Xesp_001075	4904
Xesp_001076	151
Xesp_001077	1151
Xesp_001078	3425
Xesp_001079	477
Xesp_001080	90
Xesp_001081	52174
orphan_peak_555	1087
orphan_peak_556	30343
Xesp_001082	28846
Xesp_001083	75
Xesp_001084	319
Xesp_001085	200
Xesp_001086	420
Xesp_001087	81
Xesp_001088	543
Xesp_001089	806
Xesp_001090	1006
Xesp_001091	764
Xesp_001092	226
Xesp_001093	4
Xesp_001094	14
Xesp_001095	1
Xesp_001096	89
orphan_peak_560	329
Xesp_001097	114
Xesp_001098	105
Xesp_001099	24
Xesp_001100	2
Xesp_001102	92
Xesp_001101	65
Xesp_001103	4746
Xesp_001104	8292
Xesp_001105	1141
Xesp_001106	164
Xesp_001107	4
Xesp_001108	49
Xesp_001109	908
Xesp_001110	1019
Xesp_001111	1
Xesp_001112	0
Xesp_001113	127
Xesp_001114	2391
Xesp_001115	1212
Xesp_001116	3619
Xesp_001117	677
Xesp_001118	131
Xesp_001119	1876
Xesp_001120	507
Xesp_001121	1026
Xesp_001122	486
Xesp_001123	1032
orphan_peak_567	314
Xesp_001124	366
Xesp_001126	3576
Xesp_001125	27
Xesp_001128	1823
Xesp_028813	667
Xesp_001129	467
Xesp_001130	0
Xesp_001131	252
Xesp_001132	255
Xesp_001134	148
Xesp_001133	0
Xesp_001135	68
Xesp_001136	276
Xesp_001137	1
Xesp_001138	140
Xesp_001139	756
Xesp_001140	342
Xesp_001141	513
Xesp_001142	93
Xesp_001143	0
Xesp_001144	174
Xesp_001145	22
orphan_peak_579	392
Xesp_001146	596
Xesp_001147	619
Xesp_001148	1108
Xesp_001149	90
Xesp_001150	293
Xesp_001151	1501
Xesp_001152	3097
Xesp_001153	138
Xesp_001154	0
Xesp_001155	901
Xesp_001156	152
Xesp_001157	1499
orphan_peak_580	943
Xesp_001158	85
Xesp_001159	793
Xesp_001160	2550
Xesp_001161	1238
Xesp_001162	407
Xesp_001163	95
Xesp_001164	236
Xesp_001165	132
Xesp_001166	1349
Xesp_001167	5582
Xesp_001168	2025
Xesp_001169	167
Xesp_001170	948
Xesp_001171	371
Xesp_001172	472
Xesp_001174	2522
Xesp_001175	80
Xesp_001176	11
Xesp_001177	109
Xesp_001178	907
Xesp_001179	2465
Xesp_001180	1540
Xesp_001181	39
Xesp_001182	76
Xesp_001183	522
Xesp_001184	560
Xesp_001185	0
Xesp_001186	784
Xesp_001187	990
Xesp_028814	267
Xesp_001188	98
Xesp_001189	1370
Xesp_001190	105
Xesp_001191	2919
Xesp_001192	1004
orphan_peak_596	786
Xesp_001193	380
Xesp_001194	310
Xesp_001195	321
Xesp_001196	639
Xesp_001197	774
Xesp_001198	25
Xesp_001199	161
Xesp_001200	223
Xesp_001201	113
Xesp_001202	63
Xesp_001203	129
Xesp_001204	595
Xesp_001205	316
Xesp_001206	306
Xesp_001207	1332
Xesp_001208	92234
orphan_peak_605	404
Xesp_001209	118
orphan_peak_606	10233
Xesp_028815	93862
Xesp_001210	68924
Xesp_001211	371
Xesp_001212	3555
Xesp_001213	84
Xesp_001215	417
Xesp_001214	14
Xesp_001216	35
orphan_peak_612	529
Xesp_001217	92
Xesp_001218	126
orphan_peak_613	451
Xesp_028816	10
Xesp_001219	92
orphan_peak_616	2131
Xesp_001220	1
Xesp_001221	0
Xesp_001222	70
Xesp_001223	54
Xesp_001224	77
Xesp_001225	14
Xesp_001226	0
Xesp_001227	10
orphan_peak_623	814
Xesp_001228	6360
Xesp_001229	252
Xesp_028817	380
Xesp_001230	1918
Xesp_001231	1414
Xesp_001233	645
Xesp_001232	253
Xesp_001234	53
Xesp_001235	41
Xesp_001236	17
Xesp_001237	32
Xesp_001238	574
Xesp_001239	24280
Xesp_001240	4085
orphan_peak_633	2354
Xesp_001241	1094
Xesp_001242	23
Xesp_001243	21
Xesp_001244	378
orphan_peak_635	12085
Xesp_001245	6459
Xesp_001246	397
Xesp_001247	175
Xesp_001248	162
Xesp_001249	270
Xesp_001250	2635
Xesp_001251	32
Xesp_001252	0
Xesp_001253	723
Xesp_001254	11
